id,sentiment
'RY52KZABZK8QF',0
'R3GCOEV4HYZG2I',1
'R1V2OPPNL0QGCE',1
'R9Q0QDTLKV567',1
'R3DL7HYC3QTWNI',1
'R3M88678ZYC6WI',1
'R2G20T7N6L3HO1',0
'R29F0E6EJJCEEM',1
'R1WU4A3QFKJ0HT',0
'R2Q061UH1EJHIJ',1
'R2F0TUS62C3ZCN',1
'R2X9MN0B0MVUZT',1
'R35P4D0NHKAGKE',1
'R2V6PXBBC9ZPKZ',1
'R1MTXPHNTE0OEM',1
'RR48906IDDC7R',1
'R3BRGLMPYWFS2N',1
'R1FB7BN6Z0L3XO',1
'R3U4EMQXXN5ZWA',0
'RCFH27W77OTPH',1
'R2R63T6FP7G9JL',1
'RLQM6VC4WYV08',0
'R3YSEIBEK0XYT',1
'R9HXJK5NX9IPY',1
'R14FJ9TGHJN8X8',1
'R36FKD0RA85LD2',1
'RV08WAK7KQ5C8',1
'RUMJPRPFJFIZ2',1
'R29HSQ1GJXRRXH',1
'RRO2C7LNHYSSL',1
'ROKWTKVHCUN0D',1
'R23IP4R4VPCU7W',1
'R3ALDVS4RB8YJD',0
'R7LFUNGK7ZW6L',1
'RYUZHTA87W6I9',0
'R2UQX5X29O3ICI',1
'R3MSBQ3L6OIFIP',1
'RPR2PCYD8LDEM',1
'R17Z5LA3XNPOSX',1
'R1V1MIFZU32A97',1
'R33HSAVWTVNLG6',1
'R37VRG2JRLUORR',0
'R1UFH7URKHIN3E',1
'R3M0JKAJ6MB493',1
'RE5FI6X7K940Q',1
'R4IVJK585QSVN',1
'R191WJ8DHZTEB3',1
'RX0KIGMX2MNAG',1
'R33QQZWE5WZ1MK',1
'R2XD9H8S4VPDDT',1
'R2OXNE998ILXLZ',0
'R1CXMZHGT72D65',1
'RUXO2SYPJHRAR',0
'R1DDJOZCYZBOT9',1
'R2A9T9J3IZ5H5E',0
'R3EPBXK1X7BZDI',1
'R1HFUJLGGZLA2X',1
'R1SGRCSYQEMI0F',1
'R198VUDI60EYSE',1
'R2VDH787K2ZDVS',0
'RJSZGT70TBDBX',1
'R1LKTKXR8G1437',1
'R2UDBTRZJPU09T',0
